Name,ProposedClass,Styles,Weight,Notes
# ---- BOSSES ----
Scurrius,APEX,Melee+Magic+Ranged,LIGHT,
Giant Mole,Juggernaut,Melee,Heavy,
King Black Dragon,Battlemage,Melee+Magic,Heavy,dragonfire=magic
Chaos Elemental,Apex,Tribrid,LIGHT,teleport/disarm
Chaos Fanatic,Mage,Magic,Light,
Crazy Archaeologist,Marksman,Ranged,LIGHT, Actually tribrid, mainly range, light melee + light mage, happy for it to state marksman though
Scorpia,Warrior,Melee,Medium,heals -> Light mage
Deranged Archaeologist,Marksman,Ranged,Medium, same as crazy arch notes
Sarachnis,Warden,Melee+Ranged,Light,was Apex; no magic -> light magic (5)
Hespori,Battlemage,Melee+Magic,Light, Actually attacks with magic and ranged only, adjust please
Obor,Warrior,Melee,LIGHT,was Titan; pure melee -> Actually is melee + ranged, heavy melee, med ranged - maybe like 5 magic
Bryophyta,Warrior,Melee,LIGHT,was Titan; pure melee -> Actually melee + magic, heavy magic, med melee, 1 ranged I guess.
Cerberus,Apex,Tribrid,MEDIUM,melee-primary; souls add mage/range -> med to high defence, high melee and ranged, med mage
Kraken,Mage,Magic,Medium, -> all low except magic + defence
Thermonuclear smoke devil,Mage,Magic,Medium,was Ranger; it is magic -> high ranged + mage, med defence, 1/1 attk/str base basically -> med agil / low prayer
Alchemical Hydra,Occultist,Ranged+Magic,Heavy,alternates styles -> med agil + prayer
Zulrah,Occultist,Ranged+Magic,Medium,style rotations -> high agility + med prayer
Vorkath,Apex,Tribrid,Heavy,dragon; many mechanics -> low agility + med prayer 
Phantom Muspah,Apex,Tribrid,Medium,shifts style per phase -> med agility + med prayer
Duke Sucellus,Juggernaut,Melee,Heavy, -> also heavy mage, but happy to say juggernaut
Vardorvis,Juggernaut,Melee,Heavy, -> high prayer + agility -> high attack + str + defence
The Leviathan,Apex,Tribrid,Heavy, -> high prayer -> very low agility
The Whisperer,Occultist,Magic+Ranged,Medium,shadow phase -> high prayer, low agility
Nex,Apex,Tribrid,Heavy,4 phases all styles -> high prayer, high agility
TzTok-Jad,Apex,Tribrid,Heavy, -> high prayer, low agility
TzKal-Zuk,Marksman,Ranged,Heavy,mainly ranged -> all stats high except for agility -> max like 20
Araxxor,Warden,Melee+Ranged,Heavy,acid mechanics -> low magic as well
Hueycoatl,Apex,Tribrid,Heavy,your note ~60 agi ->  Medium
Sol Heredit,Juggernaut,Melee,Heavy,gladiator; pure melee -> Can be an apex because of the waves as well. Agility should max out at like 50 though. Prayer maxes out at like 90.
Amoxliatl,Mage,Magic,Medium, -> Light
Callisto,Juggernaut,Melee,Heavy, -> magic like 60, light agility because of enclosed space
Artio,Juggernaut,Melee,Medium, -> Medium + same as callisto
Venenatis,Battlemage,Melee+Magic,Heavy,web/magic -> spider so can have higher agility
Spindel,Battlemage,Melee+Magic,Medium, -> spider so can have higher agility
Vet'ion,Battlemage,Melee+Magic,Heavy,was Jugg; lightning=magic
Calvar'ion,Battlemage,Melee+Magic,Medium,
Corporeal Beast,Battlemage,Melee+Magic,Heavy,was Jugg; has magic -> happy for this to stay as juggernaut and have decent magic still
Commander Zilyana,Battlemage,Melee+Magic,Medium,fast melee+magic
General Graardor,Warden,Melee+Ranged,Heavy,was Jugg; has ranged -> happy for this to stay as juggernaut and have decent ranged still
K'ril Tsutsaroth,Battlemage,Melee+Magic,Heavy, -> happpy for this to stay as juggernaut and have decent magic still
Kree'arra,Occultist,Ranged+Magic,Medium,flying; range+mage -> also can melee too, med, decent agility because it flies
Dagannoth Rex,Juggernaut,Melee,Heavy, 
Dagannoth Prime,Mage,Magic,Heavy,
Dagannoth Supreme,Marksman,Ranged,Heavy,was Archon; supreme=ranged
Dusk,Apex,Tribrid,Heavy,grotesque guardians
Dawn,Apex,Tribrid,Medium,heals/flies
The Nightmare,Apex,Tribrid,Heavy,
Phosani's Nightmare,Apex,Tribrid,Heavy,
Maiden of Sugadinti,Occultist,Ranged+Magic,Heavy,blood mechanics -> low agility, high defence, 
Pestilent Bloat,Warrior,Melee,Medium,was Apex; bloat is melee -> Juggernaut but has decent agility + heavy ranger + med mage
Sotetseg,Occultist,Magic+Ranged,Medium, -> heavy melee too -> low agility, decent prayer
Xarpus,Marksman,Ranged,Medium,was Stalker; poison/ranged -> high defence -> med agility because flies, but doesn't move so not high
Verzik Vitur,Apex,Tribrid,Heavy,phases -> high defence -> high agility because turns into a spider lol -> decent prayer
Akkha,Apex,Tribrid,Medium, -> heavy all 3, low defence, med agility
Ba-Ba,Warrior,Melee,Heavy,was Titan; rock boss melee -> + med ranged + low magic -> decent agility
Kephri,Occultist,Ranged+Magic,Medium, -> light melee as well -> low agil
Zebak,Apex,Tribrid,Heavy, -> low agility
Tumeken's Warden,Occultist,Ranged+Magic,Heavy, -> Tribrid, high prayer, low agil
Elidinis' Warden,Occultist,Ranged+Magic,Heavy, -> Tribrid, high prayer, low agil
Abyssal Sire,Battlemage,Melee+Magic,Heavy, -> Melee + ranged and light melee
Great Olm,Apex,Tribrid,Heavy, -> Low agility, can have high prayer
Tekton,Juggernaut,Melee,Heavy, -> low agility, can have high prayer
Vespula,Marksman,Ranged,Medium,was Stalker; flying -> flies so higher agility -> Not sure if this will work in game because you don't need to attack vespula at all in the fight
# ---- HIGH-LEVEL / MULTI-ATTACK MOBS ----
Lizardman shaman,Apex,Tribrid,Medium,spawns
Drake,Battlemage,Melee+Magic,Heavy,dragonbreath
Wyrm,Battlemage,Melee+Magic,Medium,was Stalker
Ancient wyvern,Apex,Tribrid,Heavy,icebreath (rep for all wyverns)
Hydra,Occultist,Ranged+Magic,Medium,
Dark beast,Battlemage,Melee+Magic,Medium,
Cave horror,Warrior,Melee,Medium,was Stalker; melee
Vyrewatch,Apex,Tribrid,Medium, -> melee only + they fly
Bloodveld,Battlemage,Melee+Magic,Medium,magic-based melee -> ehh would rather the class be juggernaut and have light mage
Waterfiend,Occultist,Ranged+Magic,Medium,
Smoke devil,Occultist,Ranged+Magic,Medium, -> ranged only
Suqah,Battlemage,Melee+Magic,Medium,
# ---- DRAGONS (dragonfire = magic) ----
Green dragon,Battlemage,Melee+Magic,Medium,
Blue dragon,Battlemage,Melee+Magic,Medium,
Red dragon,Battlemage,Melee+Magic,Medium,
Black dragon,Battlemage,Melee+Magic,Heavy,
Bronze dragon,Battlemage,Melee+Magic,Heavy,
Iron dragon,Battlemage,Melee+Magic,Heavy,
Steel dragon,Battlemage,Melee+Magic,Heavy,
Mithril dragon,Apex,Tribrid,Heavy,+ranged
Rune dragon,Apex,Tribrid,Heavy,+ranged/lightning
Baby blue dragon,Warrior,Melee,Light,no dragonfire yet
Baby green dragon,Warrior,Melee,Light,no dragonfire yet
